Record ID,Deal Name,Deal Stage,Close Date,Deal owner,Amount,Closed Lost Reason,Last Modified Date,Create Date
7321037292,Scottish Gov – Digital Technology and Cyber Services Dynamic Purchasing System [09/05/2023],Opportunity identified,2023-05-31 12:59,Michael Thomas,,,2023-05-05 09:30,2023-05-02 13:02
7256608479,Stats Wales - follow on bid [03/05/2023],Opportunity identified,2023-04-30 12:35,Mark Stringer,,,2023-05-01 08:00,2023-04-26 12:36
7256319201,Imperial World Museum - Service Design Framework Agreement,Closed: abandoned,2023-05-05 11:01,Aspasia Dellaporta,130000,,2023-05-02 12:28,2023-04-26 11:02
7255667942,NS&I - Digital Experience and Digital Enablement Supplier framework [09/05/2023],Opportunity identified,2023-05-11 09:34,Aspasia Dellaporta,168000000,,2023-05-05 08:00,2023-04-26 09:34
7192791231,GLA - Other Grants Discovery [09/05/2023],Opportunity identified,2023-04-30 09:43,Aspasia Dellaporta,30,,2023-05-02 12:20,2023-04-19 09:44
7176501707,"Falmouth Exeter Plus - Website Maintenance, Development and Hosting [25/05/2023]",Closed: abandoned,2023-05-05 14:22,Aspasia Dellaporta,100000,,2023-05-02 12:17,2023-04-17 14:24
7175866305,"Sheffield Hallam University - Web design, Development and Consultancy services",Closed: abandoned,2023-05-24 14:09,Aspasia Dellaporta,1000000,,2023-04-18 12:44,2023-04-17 14:10
7134651618,DVSA - Theory Test Continuous Improvement Engagement Event,,,Ben Marvell,,,2023-04-12 17:13,2023-04-12 17:10
7122918850,GLA - Support of Website - Duminda [09/05/2023],Opportunity identified,2023-04-30 11:08,Mark Stringer,,,2023-05-05 08:01,2023-04-11 11:08
7067743457,FCA Digital Services Framework [11/04/2023],Closed: abandoned,2023-04-30 11:32,Mark Stringer,,,2023-04-11 10:46,2023-04-04 11:32
7010137314,GLA Functional Audit,Closed: won,2023-03-31 11:10,Ben Marvell,26250,,2023-03-31 11:33,2023-03-31 11:33
7009522661,Home Office - ASPeL,Closed: won,2023-04-04 12:26,Aspasia Dellaporta,168000,,2023-04-19 15:48,2023-03-31 10:58
7002076861,Dover Harbour Board - Framework for Port Digitisation [17/05/2023],Opportunity identified,2023-04-28 16:14,Aspasia Dellaporta,,,2023-04-26 12:12,2023-03-30 16:14
6978673904,MoJ - Digital platform for language service [04/04/2023],Closed: abandoned,2023-03-31 11:51,Aspasia Dellaporta,,,2023-04-04 12:31,2023-03-28 11:52
6978657232,Home Office - Homeland Security Group: Science & Technology [23/05/2023],Opportunity identified,2023-03-31 11:38,Aspasia Dellaporta,4500000,,2023-04-18 12:30,2023-03-28 11:43
6978656469,Police Digital Service - Dynamic Decision and Case Management System (DDaCS) [25/4/2023],Closed: abandoned,2023-04-10 11:33,Aspasia Dellaporta,,,2023-04-26 12:36,2023-03-28 11:34
6933546725,Ofgem   [23/05/2023],Opportunity identified,2023-04-10 16:40,Aspasia Dellaporta,15000000,,2023-05-02 12:41,2023-03-20 16:54
6882621886,Catapult - Business Support Challenges bid [21/03/2023],Closed: lost,2023-03-17 09:02,Aspasia Dellaporta,48000,,2023-03-17 09:07,2023-03-14 09:28
6877153472,Southampton University - Digital Strategy Consultancy Services,Closed: abandoned,2023-04-04 11:48,Mark Stringer,375000,,2023-03-21 12:10,2023-03-13 11:47
6776072684,Department of Health and Social Care - Social care access project [14/03/2023],Closed: abandoned,2023-02-28 12:50,Mark Stringer,,,2023-03-13 11:45,2023-02-28 12:50
6777854937,DVSA [17/05/2023],Opportunity identified,2023-02-28 12:46,Mark Stringer,,,2023-05-09 10:13,2023-02-28 12:47
6740050371,Braintree council [06/06/2023],Opportunity identified,2023-02-28 14:53,Mark Stringer,8000000,,2023-05-02 12:08,2023-02-23 14:53
6740049875,British Council - 2023_Global - Think Customer [14/03/2023],Closed: abandoned,2023-02-28 14:48,Mark Stringer,1000000,,2023-03-13 11:47,2023-02-23 14:49
6634076359,"WIT Fran Murphy - IT Clinical Lead, Dorset NHS [14/02/2023]",Closed: won,2023-02-15 23:12,Mark Stringer,,,2023-02-15 23:12,2023-02-09 17:02
6634076112,WIT Ann Walker - Delivery Director Migration Borders Delivery Portfolio HO [14/02/2023],Closed: won,2023-02-15 10:26,Mark Stringer,,,2023-02-15 10:30,2023-02-09 16:58
6634075862,WIT Carolyn Walsh - Head of Technology British Library [14/02/2023],Closed: won,2023-02-15 23:06,Mark Stringer,,,2023-02-15 23:06,2023-02-09 16:55
6631833045,HO Police & Public Protection Technology portfolio referral [23/05/2023],Opportunity identified,2023-03-31 11:07,Aspasia Dellaporta,28000000,,2023-04-14 08:00,2023-02-09 11:08
6574754778,Digileaders [21/02/2023],Closed: abandoned,2023-02-14 12:36,Mark Stringer,,,2023-02-23 14:22,2023-02-01 12:34
6550915295,DFT - Better BSOG Discovery [24/05/2023],Awaiting outcome,2023-02-10 09:08,Michael Thomas,120000,,2023-04-26 12:08,2023-01-30 09:09
6509104829,UKGovCamp (or similar) sponsorship [08/05/2023],Opportunity identified,2023-01-31 12:40,Michael Thomas,,,2023-05-02 12:50,2023-01-25 12:42
6508986600,Thames Valley Police: Case Management Solution for ACRO [08/02/2023],Closed: abandoned,2023-02-08 11:51,Aspasia Dellaporta,,,2023-02-01 12:16,2023-01-25 11:51
6464846298,Look at TEPAS [21/03/2023],Closed: abandoned,2023-01-31 12:54,Mark Stringer,,,2023-03-28 12:12,2023-01-19 12:55
6464830667,Catch up with Martin Whiting [10/10/2023],Opportunity identified,2023-04-27 15:12,Mark Stringer,,,2023-05-02 12:12,2023-01-19 12:46
6464706284,Civil aviation authority [21/02/2023],Closed: lost,2023-02-23 14:24,Mark Stringer,250000,,2023-02-23 14:24,2023-01-19 12:30
6358281665,Catapult Satelite Applications - UCD framework [14/03/2023],Closed: won,2023-03-07 12:21,Michael Thomas,1000000,,2023-03-07 12:21,2023-01-05 11:48
